trade_date,ts_code,date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2019/12/16,000016.SH,20191216,2999.2015,2999.5,2999.5334,2983.1944,3006.3127,-7.1112,-0.2365,33429792,61966979.3
2019/12/17,000016.SH,20191217,3033.1423,3000.7842,3053.8259,2991.0763,2999.2015,33.9408,1.1317,47347335,76916508.5
2019/12/18,000016.SH,20191218,3025.7847,3031.8873,3041.8336,3020.9464,3033.1423,-7.3576,-0.2426,32492619,53907140.3
2019/12/19,000016.SH,20191219,3017.7128,3027.6745,3029.7019,3009.8707,3025.7847,-8.0719,-0.2668,26929092,42049274
2019/12/20,000016.SH,20191220,3012.6257,3022.1196,3033.5621,3009.3843,3017.7128,-5.0871,-0.1686,25092228,42559312.7
2019/12/23,000016.SH,20191223,2984.2426,3015.294,3028.5599,2982.0214,3012.6257,-28.3831,-0.9421,27450023,46144913.6
2019/12/24,000016.SH,20191224,2996.765,2985.616,2999.0779,2982.4184,2984.2426,12.5224,0.4196,22275453,33020813.1
2019/12/25,000016.SH,20191225,2986.0036,2993.364,2993.5575,2976.905,2996.765,-10.7614,-0.3591,21384876,35451595.7
2019/12/26,000016.SH,20191226,3011.6361,2986.3067,3011.6361,2985.5298,2986.0036,25.6325,0.8584,23055824,38127469.6
2019/12/27,000016.SH,20191227,3017.7787,3012.0346,3047.6061,3012.0346,3011.6361,6.1426,0.204,34420274,57220452.7
2019/12/30,000016.SH,20191230,3062.75,3016.1974,3065.254,3007.9557,3017.7787,44.9713,1.4902,43666647,76973532
2019/12/31,000016.SH,20191231,3063.219,3057.2985,3065.3834,3043.9256,3062.75,0.469,0.0153,31074043,53266973.8
2020/1/2,000016.SH,20200102,3090.8331,3073.9313,3107.5172,3073.9313,3063.219,27.6141,0.9015,50036392,94773729.2
2020/1/3,000016.SH,20200103,3078.2793,3097.2518,3097.4088,3072.1137,3090.8331,-12.5538,-0.4062,37185493,72346789.2
2020/1/6,000016.SH,20200106,3056.8359,3062.2801,3090.8402,3040.1945,3078.2793,-21.4434,-0.6966,47707827,77770388.11
2020/1/7,000016.SH,20200107,3074.0152,3063.7464,3080.2714,3061.5608,3056.8359,17.1793,0.562,34371788,56886579.55
2020/1/8,000016.SH,20200108,3037.8525,3058.3585,3058.6969,3030.1048,3074.0152,-36.1627,-1.1764,37653773,59854842.16
2020/1/9,000016.SH,20200109,3067.5456,3060.7743,3071.5392,3055.9906,3037.8525,29.6931,0.9774,33150515,57676819.31
2020/1/10,000016.SH,20200110,3067.881,3079.0765,3081.9568,3058.1642,3067.5456,0.3354,0.0109,28542389,51634929.52
2020/1/13,000016.SH,20200113,3090.1284,3069.6784,3090.131,3054.8783,3067.881,22.2474,0.7252,29330835,57052247.48
2020/1/14,000016.SH,20200114,3080.6016,3097.7248,3108.177,3078.4579,3090.1284,-9.5268,-0.3083,35129017,56961447.5
2020/1/15,000016.SH,20200115,3058.0078,3078.2528,3086.9662,3052.7047,3080.6016,-22.5938,-0.7334,28116086,46971571.73
2020/1/16,000016.SH,20200116,3043.0931,3067.95,3068.1971,3039.0726,3058.0078,-14.9147,-0.4877,28312318,45497746.84
2020/1/17,000016.SH,20200117,3053.1729,3054.0361,3067.5589,3042.5897,3043.0931,10.0798,0.3312,23304514,46224605.67
2020/1/20,000016.SH,20200120,3065.9906,3070.6701,3072.2888,3054.4484,3053.1729,12.8177,0.4198,27274849,55623208.19
2020/1/21,000016.SH,20200121,3012.1123,3048.9459,3050.8233,3011.1846,3065.9906,-53.8783,-1.7573,32801291,59740274.2
2020/1/22,000016.SH,20200122,3017.8785,2996.8099,3023.9019,2965.6635,3012.1123,5.7662,0.1914,33159760,60509150.07
2020/1/23,000016.SH,20200123,2932.4932,2993.7726,2993.7726,2910.3942,3017.8785,-85.3853,-2.8293,42839352,75506612.22
2020/2/3,000016.SH,20200203,2727.0931,2676.0073,2755.8448,2676.0073,2932.4932,-205.4001,-7.0043,58609184,96131246.47
2020/2/4,000016.SH,20200204,2794.6606,2724.1314,2796.7145,2724.1314,2727.0931,67.5675,2.4776,57016369,91856016.29
2020/2/5,000016.SH,20200205,2812.8993,2803.7374,2833.2097,2782.4231,2794.6606,18.2387,0.6526,44182070,73422004.37
2020/2/6,000016.SH,20200206,2854.8878,2829.5111,2866.3906,2809.3661,2812.8993,41.9885,1.4927,42134251,70417283.28
2020/2/7,000016.SH,20200207,2851.7105,2836.7992,2851.8244,2819.6678,2854.8878,-3.1773,-0.1113,34443628,59065093.71
2020/2/10,000016.SH,20200210,2850.0642,2826.797,2854.8289,2817.7707,2851.7105,-1.6463,-0.0577,33654934,56648242.8
2020/2/11,000016.SH,20200211,2879.8575,2858.9245,2893.0673,2854.0722,2850.0642,29.7933,1.0454,36028244,58519424.65
2020/2/12,000016.SH,20200212,2895.5859,2876.6708,2895.9268,2870.768,2879.8575,15.7284,0.5462,31230750,52126941.02
2020/2/13,000016.SH,20200213,2875.4794,2898.3985,2906.7218,2871.2649,2895.5859,-20.1065,-0.6944,37434764,57844935.04
2020/2/14,000016.SH,20200214,2895.0644,2870.7125,2900.2032,2870.6285,2875.4794,19.585,0.6811,35125996,53270508.17
2020/2/17,000016.SH,20200217,2950.0699,2901.686,2950.2826,2898.5925,2895.0644,55.0055,1.9,45296532,72567316.62
2020/2/18,000016.SH,20200218,2924.3981,2940.646,2944.4334,2914.9641,2950.0699,-25.6718,-0.8702,38098991,60875096.3
2020/2/19,000016.SH,20200219,2923.7633,2917.1249,2942.3469,2914.5929,2924.3981,-0.6348,-0.0217,40270252,62808193.99
2020/2/20,000016.SH,20200220,2978.1829,2931.3718,2981.2656,2920.7976,2923.7633,54.4196,1.8613,50229847,84693541.39
2020/2/21,000016.SH,20200221,2968.1381,2965.6019,2991.0599,2959.5133,2978.1829,-10.0448,-0.3373,46920152,83241627.53
2020/2/24,000016.SH,20200224,2930.0332,2949.978,2953.2947,2922.1628,2968.1381,-38.1049,-1.2838,48637573,84187873.41
2020/2/25,000016.SH,20200225,2909.324,2891.9788,2912.1596,2869.6431,2930.0332,-20.7092,-0.7068,53157948,88652948.31
2020/2/26,000016.SH,20200226,2901.6734,2877.4634,2930.0198,2872.8293,2909.324,-7.6506,-0.263,62965029,93491144.92
2020/2/27,000016.SH,20200227,2912.0364,2904.8654,2927.1985,2903.7471,2901.6734,10.363,0.3571,42152250,70016400.8
2020/2/28,000016.SH,20200228,2821.0419,2860.2818,2880.7949,2818.4296,2912.0364,-90.9945,-3.1248,58479965,90536233.07
2020/3/2,000016.SH,20200302,2907.8863,2837.7737,2922.9511,2837.7737,2821.0419,86.8444,3.0785,54884776,85151778.05
2020/3/3,000016.SH,20200303,2921.4435,2941.6796,2948.551,2910.7565,2907.8863,13.5572,0.4662,53161398,84017213.96
2020/3/4,000016.SH,20200304,2947.5666,2921.0678,2949.5714,2919.3652,2921.4435,26.1231,0.8942,42569549,75555571.9
